FULL NAME,TEAM,POS,AGE,GP,MPG,FTA,FTpct,2PA,2Ppct,3PA,3Ppct,SHOOTINGpct,PPOINTSPG,REBOUNDSPG,ASSISTSPG,STEALSPG,BLOCKSPG
Shai Gilgeous-Alexander,Okc,G-F,22.09,70,34.7,357,0.807,762,0.513,251,0.347,0.569,19,5.9,3.3,1.13,0.67
Chris Paul,Okc,G,35.28,70,31.5,279,0.907,583,0.554,304,0.365,0.61,17.6,5,6.7,1.59,0.16
Dennis Schroder,Okc,G,26.92,65,30.8,236,0.839,640,0.513,325,0.385,0.575,18.9,3.6,4,0.71,0.22
Danilo Gallinari,Okc,F,32.02,62,29.6,298,0.893,378,0.476,439,0.405,0.612,18.7,5.2,1.9,0.68,0.08
Steven Adams,Okc,C,27.07,63,26.7,201,0.582,475,0.594,3,0.333,0.604,10.9,9.3,2.3,0.81,1.06
Aaron Gordon,Orl,F,24.91,62,32.5,224,0.674,530,0.494,237,0.308,0.516,14.4,7.7,3.7,0.82,0.63
Nikola Vucevic,Orl,C,29.81,62,32.2,167,0.784,744,0.531,289,0.339,0.549,19.6,10.8,3.6,0.87,0.76
Evan Fournier,Orl,G-F,27.79,66,31.4,220,0.818,496,0.526,434,0.399,0.595,18.5,2.6,3.2,1.08,0.23
Jonathan Isaac,Orl,F,22.87,34,28.8,77,0.779,238,0.521,94,0.34,0.552,11.9,6.8,1.4,1.56,2.29
Markelle Fultz,Orl,G,22.21,72,27.7,159,0.73,637,0.507,135,0.267,0.517,12.1,3.3,5.1,1.25,0.17
Ben Simmons,Phi,F,24.07,57,35.4,298,0.621,641,0.582,7,0.286,0.601,16.4,7.8,8,2.11,0.58
Tobias Harris,Phi,F,28.08,72,34.3,215,0.805,816,0.517,357,0.367,0.556,19.6,6.9,3.2,0.72,0.56
Josh Richardson,Phi,G,26.92,55,30.8,141,0.809,397,0.486,249,0.341,0.533,13.7,3.2,2.9,0.95,0.65
Al Horford,Phi,C-F,34.2,67,30.2,80,0.763,426,0.516,283,0.35,0.536,11.9,6.8,4,0.81,0.91
Joel Embiid,Phi,C-F,26.42,51,29.5,436,0.807,630,0.516,172,0.331,0.59,23,11.6,3,0.86,1.29
Devin Booker,Pho,G,23.79,70,35.9,509,0.919,885,0.549,398,0.354,0.618,26.6,4.2,6.5,0.69,0.26
Kelly Oubre Jr.,Pho,F-G,24.68,56,34.5,246,0.78,519,0.511,307,0.352,0.56,18.7,6.5,1.5,1.25,0.71
Deandre Ayton,Pho,C,22.06,38,32.5,89,0.753,555,0.553,13,0.231,0.568,18.2,11.5,1.9,0.66,1.53
Ricky Rubio,Pho,G,29.82,65,31,226,0.863,476,0.439,216,0.361,0.535,13,4.7,8.8,1.45,0.17
Mikal Bridges,Pho,F,23.96,73,28,122,0.844,290,0.61,194,0.361,0.62,9.1,4,1.8,1.44,0.63
Damian Lillard,Por,G,30.09,66,37.5,518,0.888,674,0.525,674,0.401,0.628,30,4.3,8,1.06,0.33
CJ McCollum,Por,G,28.9,70,36.5,185,0.757,844,0.494,512,0.379,0.541,22.2,4.3,4.4,0.77,0.6
Trevor Ariza,Por,F,35.13,21,33.4,47,0.872,74,0.595,85,0.4,0.643,11,4.8,2,1.62,0.38
Carmelo Anthony,Por,F,36.21,58,32.8,161,0.845,556,0.448,226,0.385,0.525,15.4,6.3,1.5,0.84,0.47
Jusuf Nurkic,Por,C,25.98,8,31.7,35,0.886,99,0.525,10,0.2,0.567,17.6,10.3,4,1.38,2
Harrison Barnes,Sac,F,28.21,72,34.5,267,0.801,524,0.502,268,0.381,0.575,14.5,4.9,2.2,0.6,0.17
De'Aaron Fox,Sac,G,22.65,51,32,342,0.705,630,0.535,185,0.292,0.558,21.1,3.8,6.8,1.45,0.49
Buddy Hield,Sac,G,26.66,72,30.8,136,0.846,475,0.478,688,0.394,0.565,19.2,4.6,3,0.93,0.24
Bogdan Bogdanovic,Sac,G,27.99,61,28.9,116,0.741,325,0.532,441,0.372,0.565,15.1,3.4,3.4,1.07,0.25
Richaun Holmes,Sac,F,26.83,44,28.2,118,0.788,345,0.646,0,0,0.679,12.3,8.1,1,0.93,1.27
DeMar DeRozan,San,F,31.02,68,34.1,450,0.844,1014,0.54,35,0.257,0.603,22.1,5.5,5.6,1.03,0.29
LaMarcus Aldridge,San,F-C,35.07,53,33.1,191,0.827,637,0.518,157,0.389,0.57,18.9,7.4,2.4,0.68,1.64
Dejounte Murray,San,G,23.9,66,25.6,114,0.798,526,0.481,111,0.369,0.524,10.9,5.8,4.1,1.68,0.26
Bryn Forbes,San,G,27.06,63,25.1,90,0.833,200,0.47,381,0.388,0.57,11.2,2,1.7,0.52,0
Derrick White,San,G,26.12,68,24.7,211,0.853,336,0.518,216,0.366,0.593,11.3,3.3,3.5,0.66,0.85
Kyle Lowry,Tor,G,34.39,58,36.2,343,0.857,337,0.504,466,0.352,0.59,19.4,5,7.5,1.41,0.45
Fred VanVleet,Tor,G,26.47,54,35.7,198,0.848,399,0.434,374,0.39,0.553,17.6,3.8,6.6,1.8,0.31
Pascal Siakam,Tor,F,26.37,60,35.2,303,0.792,739,0.499,365,0.359,0.554,22.9,7.3,3.5,1.02,0.88
OG Anunoby,Tor,F,23.08,69,29.9,102,0.706,338,0.583,228,0.39,0.6,10.6,5.3,1.6,1.41,0.65
Norman Powell,Tor,G,27.23,52,28.4,153,0.843,323,0.579,273,0.399,0.626,16,3.6,1.8,1.15,0.4
Rudy Gobert,Uta,C,28.13,68,34.3,403,0.63,557,0.693,0,0,0.699,15.1,13.5,1.5,0.72,1.97
Donovan Mitchell,Uta,G,23.94,69,34.3,322,0.863,869,0.494,473,0.366,0.558,24,4.4,4.3,1.01,0.2
Bojan Bogdanovic,Uta,F,31.33,63,33.1,277,0.903,478,0.479,457,0.414,0.603,20.2,4.1,2.1,0.54,0.11
Joe Ingles,Uta,F-G,32.87,72,29.7,94,0.787,200,0.525,353,0.399,0.595,9.8,3.9,5.2,0.9,0.15
Mike Conley,Uta,G,32.84,47,29,139,0.827,311,0.437,256,0.375,0.537,14.4,3.2,4.4,0.79,0.11
Bradley Beal,Was,G,27.13,57,36,458,0.843,822,0.515,481,0.353,0.579,30.6,4.2,6.1,1.26,0.4
Rui Hachimura,Was,F,22.52,48,30.1,140,0.829,458,0.5,87,0.287,0.535,13.5,6.1,1.8,0.77,0.17
Davis Bertans,Was,F,27.75,54,29.3,122,0.852,138,0.471,472,0.424,0.628,15.4,4.5,1.7,0.69,0.61
Ish Smith,Was,G,32.11,68,26.3,86,0.721,520,0.473,169,0.367,0.509,10.9,3.2,4.9,0.88,0.44
Troy Brown Jr.,Was,G-F,21.05,69,25.8,139,0.784,443,0.479,179,0.341,0.524,10.4,5.6,2.6,1.22,0.1
